PMID,Title,Journal,Publication Year,Authors,Abstract,Keywords
39978340,Type III CRISPR-mediated flexible RNA excision with engineered guide RNAs.,Molecular cell,2025,"Yuanfan Sun, Yingyin Wu, Zihua He, Yiying Wang, Wenhao Hou, Yong Cao, Qihao Zhou, Rui Zhang","Current RNA editing techniques are predominantly limited to single-base edits. Here, we introduce selective cleavages and intramolecular stitches of RNA (SCISSOR) for selective cleavage and intramolecular stitches of RNA. Building on the principle that type III CRISPR complex determines target cleavage positions based on gRNA length in 6-nt increments, we hypothesized that engineering gRNAs with bulge loops could circumvent this rule, allowing for flexible RNA excision. Through systematic evaluation of gRNAs with various bulge loops, we established the rules for precise non-6-nt target cleavage and repair. We observed that the complex tolerates 1- or 2-nt bulge loops and accommodates large bulge loops ranging from 6 to 24 nt. Consequently, SCISSOR could accomplish nearly any length of short fragment excision. With its capability to modify open reading frames, we demonstrate the potential of SCISSOR in repairing frameshift mutations and introducing frameshifts to create immunogenic poly-epitopes in human cells. SCISSOR holds promise in RNA therapy and biomedical research.","Frameshift, RNA editing, RNA excision, SCISSOR, type III CRISPR"
39978273,Yanghe Pingchuan granules induce ferroptosis in airway smooth muscle cells to improve bronchial asthma via the METTL3/P53/SLC7A11 signaling pathway.,Phytomedicine : international journal of phytotherapy and phytopharmacology,2025,"Lingyu Pan, Bangfu He, Yanquan Han, Dezhi Yuan, Xianchun Duan, Yongzhong Wang","Recent studies have found that ferroptosis is strongly associated with the development of bronchial asthma (BA). However, the mechanism underlying the role of ferroptosis in asthma remains unclear. Yanghe Pingchuan granules (YPG) have significant curative effect in the clinical treatment of BA. In our previous study, we found that YPG inhibit pyroptosis in the airway smooth muscle cells (ASMCs) of and reducing airway inflammation. Whether ferroptosis participated in the YPG treated BA activity is an interesting project.","Bronchial asthma, Ferroptosis, METTL3/P53/SLC7A11 signaling pathway, Yanghe Pingchuan granules"
39976823,Retrospect and prospect: reproductive technologies in beef cattle.,Molecular biology reports,2025,"Zhiqiang Li, Hongyu Liu, Jun Wang, Yang Zhou, Yi Fang, Wenfa Lu","The cattle industry is critical for agriculture's development, and reproductive technology has revolutionized its development over the past century. The core task of developing the beef cattle industry is to increase quantity and improve quality, which cannot be separated from the key link of reproduction. It involves artificial insemination (AI), semen collection and freezing, multiple ovulation embryo transfer (MOET), and genome editing. Each technology greatly contributed to the industry's development at the time. In this review, we systematically summarize the development process of beef cattle breeding technology and provide reasonable suggestions for the needs of enterprises and individual breeders of different scales. Additionally, we summarize the contributions of these technologies to industry development and their impact on cattle farming today. Scientific feeding methods combined with current reproductive technology can fully realize the production potential of beef cattle and improve economic benefits, which has positive significance for expanding the beef cattle industry scale and promoting sustainable cattle industry development.","AI, Beef cattle, Genome editing, MOET, Reproductive technology"
39976408,A Bayesian phylodynamic inference framework for single-cell CRISPR/Cas9 lineage tracing barcode data with dependent target sites.,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",2025,"A Zwaans, S Seidel, M Manceau, T Stadler","Analysing single-cell lineage relationships of an organism is crucial towards understanding the fundamental cellular dynamics that drive development. Clustered regularly interspaced short palindromic repeats (CRISPR)-based dynamic lineage tracing relies on recent advances in genome editing and sequencing technologies to generate inheritable, evolving genetic barcode sequences that enable reconstruction of such cell lineage trees, also referred to as phylogenetic trees. Recent work generated custom computational strategies to produce robust tree estimates from such data. We further capitalize on these advancements and introduce GESTALT analysis using Bayesian inference (GABI), which extends the analysis of genome editing of synthetic target arrays for lineage tracing (GESTALT) data to a fully integrated Bayesian phylogenetic inference framework in software BEAST 2. This implementation allows users to represent the uncertainty in reconstructed trees and enables their scaling in absolute time. Furthermore, based on such time-scaled lineage trees, the underlying processes of growth, differentiation and apoptosis are quantified through so-called phylodynamic inference, typically relying on a birth-death or coalescent model. After validating its implementation, we demonstrate that our methodology results in robust estimates of growth dynamics characteristic of early ","BEAST 2, CRISPR, Danio rerio, lineage tracing, phylodynamics, single-cell"
39976310,MultiCRISPR-EGA: Optimizing Guide RNA Array Design for Multiplexed CRISPR Using the Elitist Genetic Algorithm.,ACS synthetic biology,2025,"Yangyu Zhang, Guanlin Chen, Ce Liang, Bin Yang, Xin Lei, Tao Chen, Huaiguang Jiang, Wei Xiong","Multiplexed CRISPR design, which allows for the concurrent and efficient editing of multiple genomic sites, is a powerful tool for complex genetic modifications. However, designing effective multiplexed guide RNA (gRNA) arrays remains challenging due to the exponential increase in potential gRNA array candidates and the significant impact of different target site selections on efficiency and specificity. Recognizing that more stable gRNAs, characterized by lower minimum free energy (MFE), have prolonged activity and thus higher efficacy, we developed MultiCRISPR-EGA, a graphical user interface (GUI)-based tool that employs the Elitist Genetic Algorithm (EGA) to design optimized single-promoter-driven multiplexed gRNA arrays. Computational experiments on ","CRISPR interference, Elitist genetic algorithm, genome editing, guide RNA array design, minimum free energy, multiplexed CRISPR"
39976035,Gene Therapy and Gene Editing: Current Trends and Future Prospects of Molecular Medicine.,Current gene therapy,2025,"Aniruddha Sen, Vijay Singh, Shailendra Dwivedi, Ruchika Agrawal, Akash Bansal, Shashank Shekhar, Sudhir Shyam Kushwaha","Gene therapy and genome editing have emerged as transformative approaches in the management of a diverse range of genetic and acquired diseases. This evaluation offers a thorough examination of the present state and prospects of these innovative technologies. Gene therapy is a prospective approach to the treatment and prevention of a variety of conditions, including complex cancers and inherited genetic disorders, which entail the introduction, removal, or modification of genetic material within a patient's cells. Genome editing, particularly through techniques such as CRISPR-Cas9, enables targeted corrections of genetic defects and opens new possibilities for personalized medicine by allowing for precise modifications at the DNA level. The review addresses the ethical implications, clinical applications, and significant advancements of these technologies. This article endeavors to underscore the substantial influence of gene therapy and genome editing on contemporary medicine by assessing the most recent research and clinical trials, thereby emphasizing their potential to revolutionize disease treatment and management.","CRISPR-Cas9, Gene therapy, clinical applications, disease management, ethical considerations, genetic disorders, genetic modifications., genome editing, personalized medicine"
39975991,A review of potential mechanisms and treatments of gastric intestinal metaplasia.,European journal of gastroenterology & hepatology,2024,"Yueyao Wu, Kehan Zhang, Yichao Zheng, Haifeng Jin","Gastric intestinal metaplasia (GIM) is a pathological process where gastric mucosal epithelial cells are replaced by intestinal-type cells, serving as a precursor lesion for gastric cancer. This transformation involves various genetic and environmental factors, affecting key genes and signaling pathways. Recent research has revealed complex mechanisms, including changes in gene expression, abnormal signaling pathway activation, and altered cell behavior. This review summarizes the latest research on GIM, discussing its pathogenesis, current treatment strategies, and potential efficacy of emerging approaches like gene editing, microbiome interventions, and integrative medicine. By exploring these strategies, we aim to provide more effective treatments for GIM and reduce gastric cancer incidence. The review also highlights the importance of interdisciplinary studies in understanding GIM mechanisms and improving treatment strategies.",N/A
39975543,Advancements in cellular immunotherapy: overcoming resistance in lung and colorectal cancer.,Frontiers in immunology,2025,"Lijuan Qin, Yuan Li, Juan Liu, Xiaoqin An","Immunotherapy has revolutionized cancer treatment, offering hope for patients with otherwise treatment-resistant tumors. Among the most promising approaches are cellular therapies, particularly chimeric antigen receptor T-cell (CAR-T) therapy, which has shown remarkable success in hematologic malignancies. However, the application of these therapies to solid tumors, such as lung and colorectal cancers, has faced significant challenges. Tumor resistance mechanisms-ranging from immune evasion, antigen loss, and immune checkpoint upregulation, to tumor microenvironment immunosuppression-remain major obstacles. This mini-review highlights the latest advancements in tumor immunotherapy, with a focus on cellular therapies, and addresses the resistance mechanisms that hinder their effectiveness in lung and colorectal cancers. We examine the evolution of CAR-T cell therapy, as well as the potential of engineered natural killer (NK) cells and macrophages in solid tumor treatment. The review also explores cutting-edge strategies aimed at overcoming resistance, including combination therapies, gene editing technologies, and nanotechnology for targeted drug delivery. By discussing the molecular, cellular, and microenvironmental factors contributing to resistance, we aim to provide a comprehensive overview of how these challenges can be overcome, paving the way for more effective, personalized immunotherapies in lung and colorectal cancer treatment.","CAR-T cells, colorectal cancer, immunotherapy, lung cancer, resistance mechanisms"
39975421,Controllable Sequence Editing for Counterfactual Generation.,ArXiv,2025,"Michelle M Li, Kevin Li, Yasha Ektefaie, Shvat Messica, Marinka Zitnik","Sequence models generate counterfactuals by modifying parts of a sequence based on a given condition, enabling reasoning about ""what if"" scenarios. While these models excel at conditional generation, they lack fine-grained control over when and where edits occur. Existing approaches either focus on univariate sequences or assume that interventions affect the entire sequence globally. However, many applications require precise, localized modifications, where interventions take effect only after a specified time and impact only a subset of co-occurring variables. We introduce Clef, a controllable sequence editing model for counterfactual reasoning about both immediate and delayed effects. Clef learns temporal concepts that encode how and when interventions should influence a sequence. With these concepts, Clef selectively edits relevant time steps while preserving unaffected portions of the sequence. We evaluate Clef on cellular and patient trajectory datasets, where gene regulation affects only certain genes at specific time steps, or medical interventions alter only a subset of lab measurements. Clef improves immediate sequence editing by up to 36.01% in MAE compared to baselines. Unlike prior methods, Clef enables one-step generation of counterfactual sequences at any future time step, outperforming baselines by up to 65.71% in MAE. A case study on patients with type 1 diabetes mellitus shows that Clef identifies clinical interventions that shift patient trajectories toward healthier outcomes.",N/A
39975340,Protein sequence editing defines distinct and overlapping functions of SKN-1A/Nrf1 and SKN-1C/Nrf2.,bioRxiv : the preprint server for biology,2025,"Briar E Jochim, Irini Topalidou, Nicolas J Lehrbach","The Nrf/NFE2L family of transcription factors regulates redox balance, xenobiotic detoxification, metabolism, proteostasis, and aging. Nrf1/NFE2L1 is primarily responsible for stress-responsive upregulation of proteasome subunit genes and is essential for adaptation to proteotoxic stress. Nrf2/NFE2L2 is mainly involved in activating oxidative stress responses and promoting xenobiotic detoxification. Nrf1 and Nrf2 contain very similar DNA binding domains and can drive similar transcriptional responses. In ",N/A
39975160,De-novo DNA Methylation of Bivalent Promoters Induces Gene Activation through PRC2 Displacement.,bioRxiv : the preprint server for biology,2025,"Henriette O'Geen, Alina Mihalovits, Benjamin D Brophy, He Yang, Maxwell W Miller, Chelsey J Lee, David J Segal, Marketa Tomkova","Promoter DNA methylation is a key epigenetic mark, commonly associated with gene silencing. However, we noticed that a positive association between promoter DNA methylation and expression is surprisingly common in cancer. Here, we use hit-and-run CRISPR/dCas9 epigenome editing to evaluate how deposition of DNA methylation can regulate gene expression dependent on pre-existing chromatin environment. While the predominant effect of DNA methylation in non-bivalent promoters is gene repression, we show that in bivalent promoters this often leads to gene activation. We demonstrate that gain of DNA methylation leads to reduced MTF2 binding and eviction of H3K27me3, a repressive mark that guards bivalent genes against activation. Our cancer patient data analyses reveal that in cancer, this mechanism likely leads to activation of a large group of transcription factors regulating pluripotency, apoptosis, and senescence signalling. In conclusion, our study uncovers an activating role of DNA methylation in bivalent promoters, with broad implications for cancer and development.",N/A
39974883,X-CRISP: Domain-Adaptable and Interpretable CRISPR Repair Outcome Prediction.,bioRxiv : the preprint server for biology,2025,"Colm Seale, Joana P Gonçalves","Controlling the outcomes of CRISPR editing is crucial for the success of gene therapy. Since donor template-based editing is often inefficient, alternative strategies have emerged that leverage mutagenic end-joining repair instead. Existing machine learning models can accurately predict end-joining repair outcomes, however: generalisability beyond the specific cell line used for training remains a challenge, and interpretability is typically limited by suboptimal feature representation and model architecture.","CRISPR, DNA repair, explainability, interpretability, machine learning, transfer learning"
39974782,,Journal of animal science and technology,2025,"Seokho Kim, Jin-Gu No, Seunghoon Lee, Areum Choi, Namwoong Hyung, Ju Young Lee, Tae-Uk Kwak, Won Seok Ju, Jae-Yeong Lee, Poogyeon Lee, Mi-Ryung Park, Sung June Byun, Haesun Lee, Keon Bong Oh, Hyeon Yang, Jae Gyu Yoo","Clustered Regularly Interspaced Short Palindromic Repeats/CRISPR-associated protein 9 (CRISPR/Cas9) technology has significantly facilitated the generation of gene-edited (GE) pigs. Although GE pigs are promising for agricultural and biomedical applications, the entire process of generating useful GE pigs is time- and labor-intensive. To overcome this, ","Cas9, Pig, sgRNA"
39974728,Advances in plant male sterility for hybrid seed production: an overview of conditional nuclear male sterile lines and biotechnology-based male sterile systems.,Frontiers in plant science,2025,"Naresh Vasupalli, Kanakachari Mogilicherla, Vahab Shaik, K R S Sambasiva Rao, Shripad R Bhat, Xinchun Lin","Male sterility forms the foundation of hybrid seed production technology in field crops. A variety of genetically controlled male sterility/fertility systems starting with cytoplasmic male sterility (CMS), genic male sterility (GMS) including conditional male sterility and transgenic-based male sterility have been developed and deployed for heterosis breeding over the past century. Here we review environment-sensitive genic male sterility (EGMS) and biotechnology-based male sterility systems and describe the underlying molecular mechanisms. Advances in crop genomics and discovery of a large number of nuclear genes governing anther/pollen development, which are shared across species, are helping design diverse types of male sterile lines suitable for different crop species and situations. In particular, gene editing offers quick and easy route to develop novel male sterility systems for hybrid seed production. We discuss the advantages and challenges of biotechnology-based male sterility systems and present alternative strategies to address concerns of transgenics. Finally, we propose development of functional male sterility systems based on pollen competition as the future area that holds great promise for heterosis breeding.","biotechnology-based male sterile (BBMS) systems, environment-sensitive genic male sterility (EGMS), genic male sterility (GMS), long non-coding RNAs (lncRNAs), phased secondary small interfering RNAs (phasiRNAs)"
39973137,Post-translational cleavage generates truncated IgY forms in the snake,Zoological research,2025,"Ming Zhang, Long Hua, Tang-Yuan Xie, Tao Wang, Li-Juan Du, Di Yu, Han-Wei Cao, Jin-Cheng Zhong, Geng-Sheng Cao, Xiang Ding, Hai-Tang Han, Yao-Feng Zhao, Tian Huang","While variable regions of immunoglobulins are extensively diversified by V(D)J recombination and somatic hypermutation in vertebrates, the constant regions of immunoglobulin heavy chains also utilize certain mechanisms to produce diversity, including class switch recombination (CSR), subclass differentiation, and alternative expression of the same gene. Many species of birds, reptiles, and amphibians express a truncated isoform of immunoglobulin Y (IgY), termed IgY(ΔFc), which lacks the υCH3 and υCH4 domains. In Anseriformes, IgY(ΔFc) arises from alternative transcriptional termination sites within the same υ gene, whereas in some turtles, intact IgY and IgY(ΔFc) are encoded by distinct genes. Different from the previously reported IgY(ΔFc) variants, this study identified a truncated IgY in the snake ","Asparaginyl endopeptidase, Post-translational cleavage, Truncated IgY"
39973047,Increased versatility and convenience: Advances and strategy optimization of Receptor-Mediated Ovary Transduction of Cargo-mediated genetic modification in insects.,Insect science,2025,"Xia Ling, Cao Zhou, Jun-Feng Hong, Yan-Ping Jiang, Quan Sun, Ling-Yi Li, Si-Yi Wang, Xin-Yuan Xie, Qi-Li Zou, Xiao-Lin Yang, Kai Xiang, Jin Ma, Liang Qiao, Bin Chen, Wei Sun","Genetic modification via gene editing has become a widely adopted and demonstrably effective method in functional gene research within entomology. However, the optimal efficiency and simplicity of delivering exogenous guide RNA-clustered regularly interspaced short palindromic repeats-associated protein 9 complexes into target tissues are crucial for successful gene editing. The Receptor-Mediated Ovary Transduction of Cargo (ReMOT) strategy, which simplifies the delivery process, target-site selection, technical requirements, and delivery cost compared with embryonic microinjection, enabling efficient editing at the germline level, is gaining increasing attention. Although the feasibility and advantages of this technique have been demonstrated in various insect species, further optimization of operational details and the overcoming of further bottlenecks are still required. This review focuses on advances in developing ReMOT as a valuable technology, exploring its applicability, rationale for selecting the ovary as a delivery target site, factors influencing its efficiency, and improvement recommendations. The versatility and effectiveness of ReMOT make it a promising method for researchers looking to make precise genetic modifications with greater ease and efficiency.","ReMOT Control, insect genetic modification, peptide ligand, strategy optimization"
39972520,"Reprogrammed Plant Metabolism During Viral Infections: Mechanisms, Pathways and Implications.",Molecular plant pathology,2025,"Tong Jiang, Tianwen Hao, Wenjing Chen, Chengliang Li, Shuqi Pang, Chenglong Fu, Jie Cheng, Chaobo Zhang, Mansour Ghorbanpour, Shuo Miao","Plant viruses pose a significant threat to global agriculture, leading to substantial crop losses that jeopardise food security and disrupt ecosystem stability. These viral infections often reprogramme plant metabolism, compromising key pathways critical for growth and defence. For instance, infections by cucumber mosaic virus alter amino acid and secondary metabolite biosynthesis, including flavonoid and phenylpropanoid pathways, thereby weakening plant defences. Similarly, tomato bushy stunt virus disrupts lipid metabolism by altering the synthesis and accumulation of sterols and phospholipids, which are essential for viral replication and compromise membrane integrity. Recent advancements in gene-editing technologies, such as CRISPR/Cas9, and metabolomics offer innovative strategies to mitigate these impacts. Precise genetic modifications can restore or optimise disrupted metabolic pathways, enhancing crop resilience to viral infections. Metabolomics further aids in identifying metabolic biomarkers linked to viral resistance, guiding breeding programmes aimed at developing virus-resistant plants. By reducing the susceptibility of crops to viral infections, these approaches hold significant potential to reduce dependence on chemical pesticides, increase crop yields and promote sustainable agricultural practices. Future research should focus on expanding our understanding of virus-host interactions at the molecular level while exploring the long-term ecological impacts of viral infections. Interdisciplinary approaches integrating multi-omics technologies and sustainable management strategies will be critical in addressing the challenges posed by plant viruses and ensuring global agricultural stability.","antiviral defence mechanisms, metabolic reprogramming, metabolism, plant virus, plant–virus interactions"
39972101,Characterization of the genome editing with miniature DNA nucleases TnpB and IscB in Escherichia coli strains.,Communications biology,2025,"Hongjie Tang, Jie Gao, Hengyi Wang, Mingjun Sun, Suyi Zhang, Chuan Song, Qi Li","DNA endonucleases TnpB and IscB are emerging candidates for combating drug-resistant bacteria, particularly Escherichia coli, due to their specificity in targeting DNA and smaller size. However, the genome-editing of TnpB/IscB in E. coli remains unclear. This study characterized the genome editing of TnpB/IscB in different E. coli strains. First, the toxicity and cleavage results indicated TnpB was effective only in MG1655, whereas IscB and enIscB demonstrated functionality in ATCC9637/BL21(DE3). Subsequently, a genome-editing tool was established in MG1655 by using TnpB (as a thermophilic programmable endonuclease), achieving up to 100% editing efficiency, while IscB/enIscB achieved editing in ATCC9637/BL21(DE3). Additionally, the editing plasmids were successfully cured. Finally, the mechanism underlying the escape of E. coli during TnpB/IscB editing was elucidated. Overall, this study successfully applied TnpB/IscB/enIscB to genome editing in E. coli, which will expand the genetic manipulation toolbox in E. coli and facilitate the development of the antimicrobial drugs.",N/A
39971832,Dwarfs standing tall: breeding towards the 'Yellow revolution' through insights into plant height regulation.,Plant molecular biology,2025,"Shankar K Bhujbal, Archana N Rai, Archana Joshi-Saha","High oilseed production is an exigency due to the increasing edible oil consumption of the growing population. Rapeseed and mustard are cultivated worldwide and contribute significantly to the world's total oilseed production. Already a plateau is reached in terms of area and yield in most of the existing cultivars. Most of the commercially cultivated high yielding rapeseed and mustard varieties are tall, mainly due to a wider use of heterosis. However, they are susceptible to lodging and consequent yield losses. Plant yield is strongly dependent upon its architecture; therefore, 'ideotype breeding' is the key approach adopted to develop new varieties with enhanced yield potential, which is less explored in these crops. Dwarf/ semi dwarf plant type varieties has shown its improved yield potential over tall plant type in cereals which further leads to 'Green revolution' in Asian countries. Although, many induced dwarf mutants in rapeseed and mustard were isolated, unlike dwarf green-revolution varieties of cereals, most of them had undesirable plant types with defects including extreme dwarfism and sterility, leading to poor yield potential. Understanding the genetic and molecular mechanisms governing plant height and its correlation with yield and yield contributing characters is crucial. In this review, recent insights into genetic, molecular, and anatomical regulation of plant height have been discussed. The role of hormones, their crosstalk, and hormonal control for cell division and expansion have been delineated with respect to plant architecture. Many dwarfing genes are identified as being part of various phytohormone pathways. Parallelly, molecular links between plant height and flowering time have been explored. The overall synthesis of the review points out some key target pathways and genes that will be useful for plant breeders as well as biotechnologists for targeted genome editing for improving plant architecture without a yield penalty.","Brassica, Cell cycle, Lodging, Phyto-hormones crosstalk, Plant height, Yellow revolution"
39971436,Molecular and microenvironmental landscapes of human papillomavirus-independent invasive squamous cell carcinoma of the vulva.,International journal of gynecological cancer : official journal of the International Gynecological Cancer Society,2025,"Sara Moufarrij, Olga Filippova, Arnaud Da Cruz Paula, Juan Blanco Heredia, Hunter Green, Vance Broach, Mario M Leitao, Roisin E O'Cearbhaill, Nadeem R Abu-Rustum, Kay J Park, Britta Weigelt, Dmitriy Zamarin",Human papillomavirus (HPV)-independent vulvar squamous cell carcinoma has a worse prognosis compared to its HPV-associated counterpart. We sought to characterize the mutational landscape and the tumor microenvironment of HPV-independent vulvar cancer.,"APOBEC, HPV-Independent Vulvar Carcinoma, Immune Signaling, TP53"
39971369,[Preliminary study on preparation of decellularized nerve grafts from GGTA1 gene-edited pigs and their immune rejection in xenotransplantation].,Zhongguo xiu fu chong jian wai ke za zhi = Zhongguo xiufu chongjian waike zazhi = Chinese journal of reparative and reconstructive surgery,2025,"Yuli Liu, Jinjuan Zhao, Xiangyu Song, Zhibo Jia, Chaochao Li, Tieyuan Zhang, Xiangling Li, Shi Yan, Ruichao He, Jiang Peng","To prepare decellularized nerve grafts from alpha-1, 3-galactosyltransferase (GGTA1) gene-edited pigs and explore their biocompatibility for xenotransplantation.","GGTA1 gene-edited pig, decellularized matrix, peripheral nerve, repair, xenotransplantation"
39971060,Enhancing genome editing efficiency in goldfish (Carassius auratus) through utilization of CRISPR-Cas12a (Cpf1) temperature dependency.,International journal of biological macromolecules,2025,"Huijuan Li, Lili Liu, Xiaowen Wang, Rong Zhang, Hua Zhu","The CRISPR/Cas technology has demonstrated revolutionary potential across various fields, including agriculture, medicine, and food safety detection. However, the utility of CRISPR/Cas12a, a particularly promising gene-editing tool, is constrained by its temperature sensitivity, limiting its application in low-temperature environments. In this study, we developed a gene-editing technique based on the CRISPR/Cas12a system in the poikilothermic species goldfish Carassius auratus. We systematically evaluated the editing efficiencies of LbCas12a and AsCas12a on the tyrosinase (tyr) gene under varying temperature conditions. Our results revealed a pronounced temperature dependence of Cas12a, with elevated temperatures markedly enhancing its editing activity, particularly for AsCas12a. A brief one-hour high-temperature treatment was sufficient to achieve effective gene disruption, underscoring CRISPR/Cas12a as a rapid and efficient gene-editing tool. Temperature was utilized as a conditional trigger for Cas12a-mediated gene knockout, enabling precise modulation of gene disruption at specific embryonic developmental stages. Whole-genome resequencing of the mutants confirmed the absence of off-target effects, further emphasizing the precision of this editing process. These findings indicated that CRISPR/Cas12a represented a viable alternative to the widely utilized CRISPR/Cas9 system and could be applied in conjunction, thereby expanding the potential applications of gene-editing technologies.","CIRSPR/Cas12a, Carassius auratus, Temperature"
39971052,Editing a mushroom with high-digestibility using a novel endo-N-acetyl-β-D-glucosaminidase.,International journal of biological macromolecules,2025,"Ying Wang, Wenjing Chen, Hongyu Chen, Ming Gong, Youran Shao, Li Wang, Dapeng Bao, Gen Zou","Fungi comprise approximately 2 % of the Earth's biomass; however, the human gastrointestinal tract has a limited capacity to digest fungal biomass. In this study, a novel endo-N-acetyl-β-D-glucosaminidase, Endo CM, was characterized in the mushroom-forming fungus Cordyceps militaris, where it plays a role in maintaining the integrity of the fungal cell wall. Through gene editing, the Endo CM promoter was engineered to remove the binding site of the CmCreA carbon catabolite repressor, and the transformant was named CmT. After 12 h of treatment with simulated digestive fluids, the residual mycelial biomass of CmT was reduced to 50.00 ± 1.57 %, compared with 69.47 ± 0.97 % (p = 0.00005) for the parent strain. CmT also released more amino acids during the simulated digestion, suggesting that the expression level of Endo CM affects the accessibility of mycelial biomass to digestive enzymes. Additionally, CmT produced fruiting bodies with improved flavor but impaired appearance. This study highlights the production of alternative proteins with high digestibility and provides a sustainable approach for breeding mushrooms with improved digestibility and absorption properties.","CRISPR/Cas9, Cordyceps militaris, Endo-N-acetyl-β-D-glucosaminidase, Molecular design breeding, Mycoprotein"
39970536,Divergent PTEN-p53 interaction upon DNA damage in a human thyroid organoid model with germline PTEN mutations.,Endocrine-related cancer,2025,"Juan Andres Venegas, Omer Enes Onur, Shin Chung Kang, Masahiro Hitomi, Charis Eng","Germline mutations in the tumor suppressor phosphatase and tensin homolog (PTEN) cause PTEN hamartoma tumor syndrome (PHTS). PHTS is characterized by an elevated lifetime risk of differentiated thyroid cancer (DTC), 30 times higher than the general population. However, only 1 in 3 PHTS patients develop DTC, and it remains unknown whether specific PTEN variants are associated with an increased risk of DTC. PTEN antagonizes the phosphatidylinositol 3-kinase (PI3K)-AKT signaling pathway, a frequently affected pathway in sporadic DTC. PTEN also acts as a guardian of the genome by interacting with other tumor suppressors. Here, we report how ionizing radiation, an environmental tumorigenic contributor, modifies the DNA damage response based on the type of germline PTEN variants. We hypothesized that certain PTEN variants associated with DTC create a pro-oncogenic molecular signature upon radiation-induced DNA damage. DTC-associated (PTEN M134R ) or DTC-non-associated (PTEN G132D ) germline PTEN mutant alleles were introduced into a human induced pluripotent cell (hiPSC) line derived from a healthy donor utilizing CRISPR-Cas9 gene editing technology. We determined radiation-induced transcriptomic changes in functional thyroid organoids induced from wild-type and both heterozygous PTEN mutant hiPSCs. Both bulk and single-cell RNA sequencing data indicated that radiation upregulated the p53 network more potently in the thyroid organoids with PTEN WT/G132D than those with PTEN WT/M134R , which could be mediated by AKT-dependent MDM2 inactivation and PTEN-p53 physical interaction. Our data suggest that the lack of p53 pathway activation through PTEN-p53 network interactions explains why PTEN M134R is a DTC-susceptible variant.","DNA damage, PTEN, oncogenesis, p53, thyroid organoid"
39970296,Strategic base modifications refine RNA function and reduce CRISPR-Cas9 off-targets.,Nucleic acids research,2025,"Kaisong Zhang, Wei Shen, Yunting Zhao, Xinyan Xu, Xingyu Liu, Qianqian Qi, Siqi Huang, Tian Tian, Xiang Zhou","In contrast to traditional RNA regulatory approaches that modify the 2'-OH group, this study explores strategic base modifications using 5-carboxylcytosine (ca5C). We developed a technique where ca5C is transformed into dihydrouracil via treatment with borane-pyridine complex or 2-picoline borane complex, leading to base mutations that directly impact RNA functionality. This innovative strategy effectively manages CRISPR-Cas9 system activities, significantly minimizing off-target effects. Our approach not only demonstrates a significant advancement in RNA manipulation but also offers a new method for the precise control of gene editing technologies, showcasing its potential for broad application in chemical biology.",N/A
39970103,[Adapting Mouse Genome Editing Technique from Scratch Using in utero Electroporation].,Molekuliarnaia biologiia,2024,"J V Popova, V D Bets, E S Omelina, L V Boldyreva, E N Kozhevnikova",Mouse genome modification requires costly equipment and highly skilled personnel to manipulate zygotes. A number of zygote electroporation techniques were reported to be highly efficient in gene delivery. One of these methods called i-GONAD (improved Genome-editing via Oviductal Nucleic Acids Delivery) describes electroporation-based gene transfer to zygotes in utero. Here we adopted this technology to develop an easy-to-use and cost-effective pipeline enabling mouse genome-editing from scratch with minimal requirements to operator skills and animal use. We chose the CRISPR/Cas9 system as a genome editing tool and i-GONAD as a gene delivery method to produce Il10 knockout in C57BL/6 mice. Three animals out of 13 delivered pups (23%) were genetically compromised at Il10 locus suggesting the feasibility of the approach. This protocol provides detailed description of the used technical settings paired with troubleshooting tips and could be of interest to those who aim at establishing in-house mouse transgenesis pipeline at minimal equipment cost from scratch.,"CRISPR/Cas9, genome editing, i-GONAD, in utero, mouse, transgenic laboratory"
39970089,"[Unveiling Neisseria gonorrhoeae Survival: Genetic Variability, Pathogenesis, and Antimicrobial Drug Resistance].",Molekuliarnaia biologiia,2024,"B L Shaskolskiy, I D Kandinov, D A Gryadunov, D V Kravtsov","Despite nearly a century of therapy for gonococcal infection with a variety of antimicrobials, more than 80 million cases of the disease are reported annually worldwide. The gonorrhea pathogen, Neisseria gonorrhoeae, exhibits an exceptional capability of developing antimicrobial resistance due to its high genetic flexibility. As an obligate pathogen, the gonococcus has evolved mechanisms to evade host defenses by engaging with the innate and adaptive immune responses in both men and women. N. gonorrhoeae can establish residence within epithelial cells, macrophages, and neutrophils. Strains resistant to each of the drugs used in gonorrhea therapy have emerged via genetic variation and horizontal gene transfer. The type IV secretion system plays a critical role in horizontal gene transfer (HGT), driving the evolvement of antimicrobial resistance. The review explores the pathogenesis and immune evasion mechanisms, antimicrobial resistance, genetic variability, laboratory analysis methods for the pathogen, and emerging trends in diagnosis and treatment of gonococcal infections.","Neisseria gonorrhoeae, T4SS, antimicrobial resistance, bacterial pathogenesis, horizontal gene transfer"
